id,creation_date,text,score
30146633,2013-11-26 12:25:58.647000+00:00,I google this every time. Related comic: https://xkcd.com/1168/,1547
21766075,2013-03-13 21:41:44.170000+00:00,"Actually, this is not completely the right answer : overflow:hidden doesn't ""hide"" the scrollbar. It also stop scrolling feature on the page. That's not exactly what we ask for.",1342
10110919,2011-11-22 06:14:02.813000+00:00,"Playing devil's advocate. I don't understand why this idiom is considered pythonic. 'Explicit is better then implicit', correct? This check doesn't seem very explicit about what is is checking.",1245
37300870,2014-06-11 16:10:42.620000+00:00,"***Moderator note: If you intend to answer this question, do note that there are already 40 answers posted.  Will your new answer add any substantial value?***",1175
443250,2009-03-10 15:17:07.830000+00:00,"I think one cannot stress enough the fact that PUT is idempotent: if the network is botched and the client is not sure whether his request made it through, it can just send it a second (or 100th) time, and it is guaranteed by the HTTP spec that this has exactly the same effect as sending once.",1092
11728310,2012-02-15 18:35:02.127000+00:00,"Remember it by ""bang, bang you're boolean""",1048
3801330,2010-09-01 14:36:17.457000+00:00,"An important difference is that `DATETIME` represents a date (as found in a calendar) and a time (as can be observed on a wall clock), while `TIMESTAMP` represents a well defined point in time. This could be very important if your application handles time zones. How long ago was '2010-09-01 16:31:00'? It depends on what timezone you're in. For me it was just a few seconds ago, for you it may represent a time in the future. If I say 1283351460 seconds since '1970-01-01 00:00:00 UTC', you know exactly what point in time I talk about. (See Nir's excellent answer below). [Downside: valid range].",1032
19339130,2012-12-22 23:22:02.307000+00:00,"It's extreme exaggeration to refer to globals as ""so dangerous."" Globals are perfectly fine in every language that has ever existed and ever will exist. They have their place. What you should have said is they can cause issues if you have no clue how to program.",889
71122,2008-10-10 20:12:17.880000+00:00,"For those somewhat new to git: Laurie's point about having not yet pushed is important.  Like rebasing, this is changing the history.  If someone has cloned/pulled from your repo between the original and rewritten history then they won't be able to pull after the rewrite (for that branch).",868
36502904,2014-05-19 18:09:15.970000+00:00,"When someone asks a question on here that yes, does have a lot of links in Google about it, what they are really asking is for someone to answer the question with **plain language** and to put it in **context**, such as why do we need it, who will use it most, do we need to know it to build Android apps in Android Studio, etc. Because most often the links you find about it on Google are in ""tech-speak"" and for a beginner this is confusing.",859
29735882,2013-11-14 10:48:36.477000+00:00,"This is nice but the problem is that ""visibility hidden"" elements still occupy space while ""display none"" does not.",823
21688679,2013-03-12 03:46:31.300000+00:00,"Just to clear up since this has so many upvotes.  The ability to inspect the code in the system and see object types is not reflection, but rather Type Introspection.  Reflection is then the ability to make modifications at runtime by making use of introspection.  The distinction is necessary here as some languages support introspection, but do not support reflection.  One such example is C++.",819
1299906,2009-09-21 03:19:37.863000+00:00,@Pax namespace io = boost::filesystem;,813
5111802,2011-01-10 03:57:19.197000+00:00,"This is a poor solution as it doesn't take any other delimiter, therefore not scalable and not maintable.",781
17726234,2012-10-24 16:28:38.117000+00:00,"Not sure why people think this code is beautiful. It is indecipherable. It seems to work nicely, but it is not beautiful.",771
1913148,2010-01-03 14:50:31.947000+00:00,that's because a[10] means *(a+10) ... and 10[a] means *(10+a) :),758
36456,2008-09-26 10:10:35.887000+00:00,"A staticmethod isn't useless - it's a way of putting a function into a class (because it logically belongs there), while indicating that it does not require access to the class.",750
34322247,2014-03-21 05:58:50.073000+00:00,"What about setting the *parent* layout to `android:focusableInTouchMode=""true""`!",740
3096673,2010-06-12 08:00:10.253000+00:00,"This breaks standard behaviour of many things, including buttons and links, contained within #menucontainer. I am surprised this answer is so popular.",739
14359320,2012-06-12 06:17:46.050000+00:00,Think of `a` in apply for array of args and `c` in call for columns of args.,735
3059554,2010-06-08 09:04:09.480000+00:00,"It's not a logical contradiction, it's a language shortcoming, multiple other languages support this notion.
""abstract"" mean ""implemented in subclasses"", 
""static"" means ""executed on the class rather than class instances""
There is no logical contradiction.",718
6716929,2011-05-01 09:38:22.860000+00:00,The opposite of this is `String.fromCharCode(10)`.,704
7545612,2011-06-21 18:57:50.807000+00:00,"Um... you know that a*a*a*a*a*a and (a*a*a)*(a*a*a) are not the same with floating point numbers, don't you? You'll have to use -funsafe-math or -ffast-math or something for that.",676
11515694,2012-02-06 08:02:12.807000+00:00,"I'll bet if you put a label on a sock drawer you'd call it ""Socks"".",670
17766441,2012-10-25 21:28:46.643000+00:00,"`git rev-parse --short HEAD` returns the short version of the hash, just in case anyone was wondering.",670
17847170,2012-10-29 15:51:23.083000+00:00,"This option is a bad idea. It's easily overlooked, looks like a typo, and is in reality relying on a language side-effect. I see bad code.",663
10748241,2011-12-28 02:05:20.573000+00:00,"If I'm not mistaken, what we should be stressing is that PUT is *defined* to be idempotent. You still have to write your server in such a way that PUT behaves correctly, yes? Perhaps it's better to say ""PUT causes the transport to assume idempotence, which may affect behavior of the transport, e.g. caching.""",662
14896457,2012-07-03 19:30:12.643000+00:00,"`echo date(""Y"");`",659
12761678,2012-04-03 01:56:47.260000+00:00,"if you cant find XML Tools under Plugins, intall it from Plugins > Plugins Manager > Show Plugins Manager",652
126581,2008-11-07 18:36:22.170000+00:00,"I disagree with your statements for the DO_NOTHING action.  If the find action method cannot find an action, then returning null is the right thing to do.  You've ""found"" an action in your code which isn't really found, which violates the principle of the method, to find a useable action.",641
100675,2008-10-25 09:04:49.550000+00:00,"Dude... Elegance is just a fancy way to say ""efficiency-that-looks-pretty"" in my book. Don't shy away from using C functions and quick methods to accomplish anything just because it is not contained within a template ;)",634
5445970,2011-02-04 02:25:24.130000+00:00,"Note that this one always evaluates everything, whereas the if/else construct only evaluates the winning expression.",630
16579387,2012-09-10 08:43:30.847000+00:00,"why don't all IDE's have the default to ""yes show line numbers"", how do you debug anythign without using line numbers ?",627
9406283,2011-10-11 18:37:01.683000+00:00,"How about this Ryan? `alert(""It's \""game\"" time."");` or `alert('It\'s ""game"" time.');`?",622
3855831,2010-09-08 02:34:23.917000+00:00,"This regex eliminates valid, in-use emails.  Do not use.  Google for ""RFC822"" or ""RFC2822"" to get a proper regex.",620
29460412,2013-11-06 14:43:24.457000+00:00,But what if the container is not the viewport (body) ?,611
19020810,2012-12-11 15:27:11.887000+00:00,"This answer is obviously correct, but you can also use `(a - b).Days` if you are interested in the total days as an `int` rather than a `double` with a decimal representation of the partial day difference.",604
5533096,2011-02-10 15:37:40.810000+00:00,"I follow [Crockford's advice](http://javascript.crockford.com/code.html) and use `===` and `!==` whenever it makes sense, which is almost always.",598
3730584,2010-08-24 18:15:27.987000+00:00,The answers to this question are a testament to how lacking the C++ standard library is.,596
12917273,2012-04-10 10:38:44.203000+00:00,"If that ever becomes a real issue for you, you are doing something very wrong.",595
303591,2009-01-28 11:42:39.437000+00:00,"While the other answers focus on explaining the differences between O(1), O(n^2) et al.... yours is the one which details how algorithms can get classified into n^2, nlog(n) etc. +1 for a good answer that helped me understand Big O notation as well",595
1955325,2010-01-08 23:49:52.550000+00:00,"for what it's worth: 
    jQuery(""img"", this)
is internally converted into:
    jQuery(this).find(""img"")
So the second is ever so slightly faster. :)",579
38901520,2014-07-29 13:32:07.403000+00:00,"""The best way to avoid this type of exception is to always check for null when you did not create the object yourself."" If the caller passes null, but null is not a valid argument for the method, then it's correct to throw the exception back at the caller because it's the caller's fault. *Silently ignoring invalid input and doing nothing in the method* is extremely poor advice because it hides the problem.",577
18926094,2012-12-07 17:01:18.977000+00:00,"I'm not sure why this is being upvoted.  Everyone must have a different expectation than me.  The original post is asking ""how do I stash just a portion of the uncommitted changes?""  When I use `git stash save -k`, yes the index (green in `git stat`) is preserved, but the *entire* changeset (both green and red) goes into the stash.  This violates the OP's request, ""stash only some changes"".  I want to stash just some of the red (for future usage).",573
786591,2009-06-10 21:51:42.420000+00:00,"The advantage is that allows easily sending XML or JSON request bodies, it doesn't have a length restriction and it's easier to encode (UTF-8).",571
10768788,2011-12-29 06:59:44.527000+00:00,"Wow, so now I can just do `:later 8h` and I'm done for today? :P",570
12515394,2012-03-22 14:08:54.113000+00:00,Eval is not evil. Using eval poorly is. If you are afraid of its side effects you are using it wrong. The side effects you fear are the reasons to use it. Did any one by the way actually answer your question?,566
1302620,2009-09-21 15:29:56.493000+00:00,"Don't forget you can do: ""using std::cout;"" which means you don't have to type std::cout, but don't bring in the entire std namespace at the same time.",565
3521845,2010-08-01 23:36:21.650000+00:00,"As James said, the DOM does not support removing an object directly. You have to go to its parent and remove it from there. Javascript won't let an element commit suicide, but it does permit infanticide...",556
2865351,2010-05-13 06:18:05.103000+00:00,"If it didn't, the keyword should be named `probably` instead.",556
6939671,2011-05-15 03:35:32.503000+00:00,"pierr: I'm not sure if this answers the description of the problem given above, but it *does* answer the actual question - how to clone a specific branch of a repository.  I voted this up because it's the answer I was googling for when I came to this page.",550
951234,2009-07-15 19:58:51.050000+00:00,"if this is true, you just won a prize for ""best debug of the year"" :)",547
12110766,2012-03-04 13:35:10.003000+00:00,"Please, to anyone reading this in the future, do **not** use float to store currency. You will loose precision and data. You should store it as a integer number of cents (or pennies etc.) and then convert prior to output.",542
2251410,2010-02-18 09:20:21.723000+00:00,"Also, `\c` can appear anywhere in the pattern, so if you type a pattern and then decide you wanted a case-insensitive search, just add a `\c` at the end.",540
4204394,2010-10-15 01:21:33.433000+00:00,"I tried a test with the same data, using `itertools.chain.from_iterable` :         `$ python -mtimeit -s'from itertools import chain; l=[[1,2,3],[4,5,6], [7], [8,9]]*99' 'list(chain.from_iterable(l))'`.   It runs a bit more than twice as fast as the nested list comprehension that's the fastest of the alternatives shown here.",534
24817332,2013-06-17 11:27:21.210000+00:00,a download progress bar wouldn't hurt anyone,531
4292408,2010-10-23 22:12:48.770000+00:00,"All enums implicitly extend java.lang.Enum. Since Java does not support multiple inheritance, an enum cannot extend anything else.",528
2518257,2010-03-26 03:14:16.947000+00:00,"I love it when people say ""a simple way is to use regular expressions"" and then offer what amounts to a string of indecipherable hieroglyphics (it's especially fun when different people suggest regex and each comes up with a different set of hieroglyphics for the same problem).  :)",525
6443962,2011-04-13 14:15:10.943000+00:00,"If you're working in DOS, instead of `git reset --soft HEAD^` you'll need to use `git reset --soft HEAD~1`.  The ^ is a continuation character in DOS so it won't work properly.  Also, `--soft` is the default, so you can omit it if you like and just say `git reset HEAD~1`.",524
11394382,2012-01-31 08:31:21.083000+00:00,"If you don't like including an external library for something as small and simple as this, use this answer.",519
31737279,2014-01-13 17:31:21.890000+00:00,"I'm not either of the downvoters, but I feel this could use *quite a bit* more detail, given the popularity of this question and answer. Noting stuff like from what directory to execute the above shell command, the fact that you need `__init__.py`s all the way down, and the `__package__`-modifying trickery (described below by BrenBarn) needed to allow these imports for executable scripts (e.g. when using a shebang and doing `./my_script.py` at the Unix shell) would all be useful. This whole issue was quite tricky for me to figure out or find concise and understandable documentation on.",517
150804,2008-11-20 22:20:19.693000+00:00,"If you are having a hard time visualizing why it works, I made an example page at http://silentmatt.com/intersection.html where you can drag rectangles around and see the comparisons.",517
962682,2009-07-17 17:26:53.480000+00:00,"I would like to append a rule of thumb which may help you remember how to discover whether 'const' applies to pointer or to pointed data: split the statement at asterix sign, then, if the const keyword appears in the left part (like in 'const int * foo') - it belongs to pointed data, if it's in the right part ('int * const bar') - it's about the pointer.",515
4110794,2010-10-05 15:44:20.307000+00:00,"And if the commit was to the wrong branch, you may `git checkout theRightBranch` with all the changes stages. As I just had to do.",513
1170982,2009-08-26 17:47:04.270000+00:00,"I think it should also be mentioned that one should consider making single argument constructors explicit initially (more or less automatically), and removing the explicit keyword only when the implicit conversion is wanted *by design*. I think contructors should be explicit by default with an 'implicit' keyword to enable them to work as implicit conversions. But that's not how it is.",509
